VCD info: dumpfile out.vcd opened for output.
                   0<<starting>>
                  63clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  64clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  65clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  66clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  67clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  68clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  69clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  70clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  71clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  72clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  73clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  74clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  75clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  76clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  77clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  78clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  79clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  80clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  81clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  82clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  83clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  84clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  85clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  86clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  87clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  88clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  89clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  90clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  91clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  92clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  93clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  94clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  95clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  96clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  97clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  98clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                  99clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 100clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 101clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 102clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 103clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 104clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 105clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 106clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 107clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 108clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 109clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 110clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 111clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 112clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 113clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 114clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 115clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 116clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 117clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 118clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 119clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 120clk = 0, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
                 121clk = 1, key = 11, sw = 0000000000, hex0 = xxxxxxxx, led = xxxzzzzxxx
